begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup,Baron Ochs,f4da222d-ef7e-4cfd-b0fd-4adbb71651fd,ce2595ba-18c8-4583-bdf7-c1aa367a6e9d,Baron Ochs,a15d060e-bc0c-4de9-910d-9275e5c75e58,8afc90ce-8062-4305-b9cd-8d1817ac3f0c,Baron Ochs,Fürstin Werdenberg,Octavian,Fürstin Werdenberg,Octavian
96753,96799," 
        
          OCTAVIAN.","– wird bei Ihr bleiben, wo Sie geht und steht!","SOPHIE.
          Bleib Er bei",20,"transfer(octavian, [audience, sophie, valzacchi, annina] in_love_with(octavian, sophie))",false,false,false,false,false,false,false,false,false,false,false,false
96687,96704,"   
        
          SOPHIE.",Bleib Er bei mir!,"OCTAVIAN.
          – wird bei",21,"transfer(sophie, [audience, octavian, valzacchi, annina] in_love_with(sophie, octavian))",false,false,false,false,false,false,false,false,false,false,false,false
135759,135806,"m der Partnerin ganz nahe ist,",durchzuckt ihn jäh die Ähnlichkeit mit Octavian,". Er
            fährt zurück ",22,"transfer(octavian, der_baron, identity(kammerzofe, octavian) suspicion))",false,false,false,false,false,false,false,false,false,false,false,false
140165,140283,d er nähert sich ihr zärtlich.,"Da meint er wieder das Gesicht Octavians ganz
            nahe dem seinigen zu erkennen, und er fährt abermals zurück.","Mariandl rührt sich kaum.
    ",22,"transfer(octavian, der_baron, identity(kammerzofe, octavian) suspicion))",false,false,false,false,false,false,false,false,false,false,false,false
111775,111907,eifrig zu Faninal links vorne.,"Der junge Kavalier
            und die Fräuln Braut, Gnaden,
            waren im geheimen
            schon recht vertraut, Gnaden!","Wir voller Eifer
             ",23,"transfer(annina, faninal, in_love_with(octavian, sophie))",false,false,false,false,false,false,false,false,false,false,false,false
153872,153928,"        Werd nicht manquieren.","Ist die Jungfer Faninal
            Sophia, Anna Barbara",", eheliche Tochter
           ",24,"transfer(der_baron, audience, has_name(sophie, Sophie Anna Barbara Faninal))",false,false,false,false,false,false,false,false,false,false,false,false
239,266," Der Baron Ochs auf Lerchenau.","Octavian, genannt Quin-quin",", ein junger Herr aus großem H",25,"transfer(""Figurentafel"", audience, has_name(octavian, ""Quin-quin""))",false,false,false,false,false,false,false,false,false,false,false,false
36981,37050,"
        
          DER BARON.","Octavian –
        
        
          MARSCHALLIN.
          Rofrano",", des Herrn Marchese zweiter B",26,"transfer(marschallin, audience, has_name(octavian, Octavian Rofrano))",false,false,false,false,false,false,false,false,false,false,false,false
100838,100864,"   Die Fräulein, kurz und gut,",die Fräulein mag Ihn nicht,".
          
        
        ",27,"transfer(octavian, der_baron, !in_love_with(sophie, der_baron))",false,false,false,false,false,false,false,false,false,false,false,false
153167,153197,"missar, wenn eine Standsperson",mit seiner ihm verlobten Braut,"um neune
            abends ei",28,"transfer(der_baron, komissarius, engaged(der_baron, kammerzofe), lie)",false,false,false,false,false,false,false,false,false,false,false,false
176264,176317,"      sehr betreten, für sich.","Was drum und dran hängt, ist mit dieser Stund vorbei.","DER BARON
          für sich, ",29,"transfer(sophie, der_baron, !engaged(sophie, der_baron))",false,false,false,false,false,false,false,false,false,false,false,false
153930,153994,"         Sophia, Anna Barbara,","eheliche Tochter
            des wohlgeborenen Herrn von Faninal",",
            wohnhaft am Hof ",30,"transfer(der_baron, komissarius, child_of(sophie, faninal))",false,false,false,false,false,false,false,false,false,false,false,false
19141,19162,"
        
          DER BARON.",Das Fräulein Faninal.,"Ich hab Euer Gnaden den Namen ",31,"transfer(der_baron, marschallin, identity(FIANCÉE[DER BARON], sophie))",false,false,false,false,false,false,false,false,false,false,false,false
159874,159897," nach den
            Kindern.","Gar nix, ein Schwindel!","Kenn nit das Bagagi!
         ",32,"transfer(der_baron, faninal, !spouses(dame_in_trauer, der_baron))",false,false,false,false,false,false,false,false,false,false,false,false
18323,18344,"en vielleicht verwundert sein,",daß ich als Bräutigam,"Sieht sich um.
          indes",33,"transfer(der_baron, [audience, marschallin, octavian], engaged(der_baron, BRIDE[DER_BARON]))",false,false,false,false,false,false,false,false,false,false,false,false
39816,39858,"n Platz links
            ein.",Die adelige Mutter mit ihren drei Töchtern,", alle in Trauer, stellen sich",34,"transfer(""Nebentext"", audience, parent_of(PARENT[DREI_ADELIGE_WAISEN], drei_adelige_waisen))",false,false,false,false,false,false,false,false,false,false,false,false
75127,75137,"IAN.
          Sie kennt mich,",ma cousine,"?
        
        
          ",35,"transfer(octavian, audience, cousin_of(octavian, sophie), suspicion)",false,false,false,false,false,false,false,false,false,false,false,false
103529,103550," respektiert,
             und",wär Er nicht verwandt,", es wär mir jetzo schwer,
   ",36,"transfer(der_baron, audience, relatives(der_baron, octavian))",false,false,false,false,false,false,false,false,false,false,false,false
126562,126608,ischen. Das Zimmer halbdunkel.,"Annina steht da, als Dame in Trauer gekleidet.",Valzacchi richtet Annina den S,37,"transfer(""Annina verkleidet sich"", [valzacchi, audience], identity(dame in trauer, annina))",false,false,false,false,false,false,false,false,false,false,false,false
157921,157979,"   
            Meine Tochter?","Da der Fetzen
            gibt sich für meine Tochter aus?","DER BARON
          gezwungen ",38,"transfer(faninal, kommissarius, !child_of(kammerzofe, faninal))",false,false,false,false,false,false,false,false,false,false,false,false
176057,176172,"t, wenn eine Sach ein End hat?","Die ganze Brautschaft und Affär' und alles sonst,
            was drum und dran hängt, ist mit dieser Stund vorbei.","SOPHIE
          sehr betreten",39,"transfer(marschallin, der_baron, !engaged(der_baron, sophie))",false,false,false,false,false,false,false,false,false,false,false,false
144822,144839,"INDER
          durchdringend.",Papa! Papa! Papa!,"ANNINA.
          Hörst du die",40,"transfer(die_kinder, [audience, der_baron, octavian, wirt], child_of(die_kinder, der_baron), lie)",false,false,false,false,false,false,false,false,false,false,false,false
37052,37085,"ARSCHALLIN.
          Rofrano,",des Herrn Marchese zweiter Bruder,".
        
        
          ",41,"transfer(marschallin, der_baron, brother_of(octavian, BROTHER[OCTAVIAN]))",false,false,false,false,false,false,false,false,false,false,false,false
13238,13375,"  
        
          OCTAVIAN","in einem Frauenrock und Jäckchen, das Haar mit einem Schnupftuch und einem Bande,
            wie in einem Häubchen, tritt hervor, knixt.","Befehln fürstli' Gnadn, i bin ",42,"transfer(""Octavian verkleidet sich"", [marschallin, audience], identity(kammerzofe, octavian))",false,false,false,false,false,false,false,false,false,false,false,false
